physical_condition,series,architecture,K_C,K_D,n_binders,gradient_scale,mean_attachments_over_K_D,plotted_axis_coordinate,mean,lower_95_percent,upper_95_percent,trajectory_count,curve_role,arrival_time_limit,recording_time_limit,mean_recorded_duration,path_ci_time_limit,mean_path_ci_duration,observation_lag,mobile_fraction,effective_K_D_at_start,local_K_C_at_start,cleavage_rate_scale,path_ci_correction_coefficient
constrained thermal motion,mean_field_theory,polarized,10.0,85.11178989045713,10.0,1.001,0.0167358091052984,0.0167358091052984,9.86123240106749,,,,gradient,500000.0,500000.0,78219.92644030227,100000.0,61486.53794805402,306.74480956981284,0.9688545198737308,87.84785346467663,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,82.2075450344478,10.0,1.001,0.0178493672907437,0.0178493672907437,9.98252933304493,,,,gradient,500000.0,500000.0,76939.20856753463,100000.0,60964.55709312432,301.7223865393515,0.9688545198737308,84.85024670696875,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,79.4024008811086,10.0,1.001,0.0190341459313818,0.0190341459313818,10.098036835424285,,,,gradient,500000.0,500000.0,75741.36723859182,100000.0,60468.311196808296,297.0249695631052,0.9688545198737308,81.9549264129531,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,76.69297584598065,10.0,1.001,0.0202944273580693,0.0202944273580693,10.207460561244806,,,,gradient,500000.0,500000.0,74623.37047467288,100000.0,59998.35045655019,292.6406685281289,0.9688545198737308,79.15840229137387,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,74.07600373342835,10.0,1.001,0.02163472656951,0.02163472656951,10.310515497157189,,,,gradient,500000.0,500000.0,73582.41687295528,100000.0,59555.1859770076,288.5584975410011,0.9688545198737308,76.45730314916894,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,71.54832979925982,10.0,1.001,0.0230598017367866,0.0230598017367866,10.406928051252727,,,,gradient,500000.0,500000.0,72615.92472145507,100000.0,59139.29180140313,284.7683322410003,0.9688545198737308,73.84837282751656,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,69.10690694770189,10.0,1.001,0.0245746650108607,0.0245746650108607,10.496438166386104,,,,gradient,500000.0,500000.0,71721.52055969175,100000.0,58751.10652265434,281.26086493996763,0.9688545198737308,71.32846627655562,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,66.74879205814433,10.0,1.001,0.026184593629079,0.026184593629079,10.578801428226855,,,,gradient,500000.0,500000.0,70897.02742654513,100000.0,58391.03446465218,278.0275585354711,0.9688545198737308,68.8945457640468,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,64.47114243722574,10.0,1.001,0.0278951413157572,0.0278951413157572,10.653791135733735,,,,gradient,500000.0,500000.0,70140.4529929146,100000.0,58059.44643673367,275.0605999722141,0.9688545198737308,66.5436772134047,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,62.27121239198354,10.0,1.001,0.0297121499709348,0.0297121499709348,10.72120030070711,,,,gradient,500000.0,500000.0,69449.97773867562,100000.0,57756.68007554801,272.3528538771593,0.9688545198737308,64.27302666668598,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,60.146349919937705,10.0,1.001,0.0316417616404345,0.0316417616404345,10.780843542987268,,,,gradient,500000.0,500000.0,68823.94330470149,100000.0,57483.03979883499,269.89781688118234,0.9688545198737308,62.07985686827005,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,58.09399351211762,10.0,1.001,0.0336904307594163,0.0336904307594163,10.832558848388766,,,,gradient,500000.0,500000.0,68260.84111983406,100000.0,57238.79640136605,267.6895730189571,0.9688545198737308,59.96152396511389,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,56.111669065178376,10.0,1.001,0.0358649366607092,0.0358649366607092,10.87620915796848,,,,gradient,500000.0,500000.0,67759.30138739379,100000.0,57024.186333057994,265.7227505387992,0.9688545198737308,57.91547431960303,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,54.19698689888411,10.0,1.001,0.0381723963383459,0.0381723963383459,10.911683759404571,,,,gradient,500000.0,500000.0,67318.08249474294,100000.0,56839.41070232105,263.9924803715409,0.9688545198737308,55.93924143115679,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,52.34763887536267,10.0,1.001,0.0406202774559301,0.0406202774559301,10.938899454301009,,,,gradient,500000.0,500000.0,66936.06089623248,100000.0,56684.634052584894,262.49435645581366,0.9688545198737308,54.030442962876464,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,50.561395616659304,10.0,1.001,0.04321641158875,0.04321641158875,10.957801478931886,,,,gradient,500000.0,500000.0,66612.22150850968,100000.0,56559.982963201765,261.224398072587,0.9688545198737308,52.1867778696526,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,48.836103817234914,10.0,1.001,0.0459690076879323,0.0459690076879323,10.968364160348468,,,,gradient,500000.0,500000.0,66345.64864746422,100000.0,56465.54452728705,260.17901430378123,0.9688545198737308,50.40602362426884,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,47.16968364816918,10.0,1.001,0.0488866657544223,0.0488866657544223,10.970591294526086,,,,gradient,500000.0,500000.0,66135.51752827744,100000.0,56401.364760601646,259.35497069912725,0.9688545198737308,48.68603353815879,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,45.56012624993918,10.0,1.001,0.0519783907102014,0.0519783907102014,10.964516238548237,,,,gradient,500000.0,500000.0,65981.0863432254,100000.0,56367.446994871454,258.7493582087271,0.9688545198737308,47.02473417358569,10.0,0.002,1.0
