condition,plot_condition,log10_d_eff_um2_s,mean_density,sd_density,n_biological_replicates,min_n_tracks,mean_n_tracks
noSBA_NAI,+ NAI,-3.287015945330296,0.4149333595671772,0.021174935235793592,3,81,202.0
noSBA_NAI,+ NAI,-3.2779043280182236,0.4146874330509267,0.019297402578856607,3,81,202.0
noSBA_NAI,+ NAI,-3.2687927107061503,0.41441144545997305,0.017398707088771462,3,81,202.0
noSBA_NAI,+ NAI,-3.259681093394078,0.4141058803143926,0.01548272218868838,3,81,202.0
noSBA_NAI,+ NAI,-3.2505694760820045,0.41377131299451336,0.0135539463767639,3,81,202.0
noSBA_NAI,+ NAI,-3.2414578587699316,0.41340840547997254,0.011617943875157253,3,81,202.0
noSBA_NAI,+ NAI,-3.2323462414578588,0.41301790043424497,0.009682322155981407,3,81,202.0
noSBA_NAI,+ NAI,-3.223234624145786,0.41260061470428305,0.007759158835105137,3,81,202.0
noSBA_NAI,+ NAI,-3.214123006833713,0.41215743230854957,0.005872040024863514,3,81,202.0
noSBA_NAI,+ NAI,-3.20501138952164,0.4116892969895531,0.004081352504554996,3,81,202.0
