crosslinking,contrast_threshold_percent,mean_field_area_percent,sd_field_area_percent,n_biological_replicates,biological_replicate_values
noSBA,11.25,0.7785880196633457,0.3784403030488853,3,1.1903593;0.44601227;0.69939252
noSBA,11.5,0.7233842017476689,0.35709195655372705,3,1.1116394;0.40901478;0.64949843
noSBA,11.75,0.6732647977530366,0.33903108625931455,3,1.042556;0.37610219;0.60113618
noSBA,12.0,0.6290949879937578,0.32246602982758316,3,0.98072987;0.34721614;0.55933895
noSBA,12.25,0.5907329447660428,0.30701548058031514,3,0.92537076;0.32206486;0.52476322
noSBA,12.5,0.5571044355727491,0.29189473337627325,3,0.87385411;0.29895602;0.49850318
noSBA,12.75,0.526030644914977,0.27909975727334385,3,0.82803212;0.27759785;0.47246197
noSBA,13.0,0.497531322324944,0.2668966095546385,3,0.78581946;0.25904075;0.44773376
noSBA,13.25,0.4747497546767943,0.25794537113602806,3,0.75197754;0.24182583;0.4304459
noSBA,13.5,0.45287894156423075,0.24425698658924597,3,0.71322329;0.22875417;0.41665937
noSBA,13.75,0.4306134639119872,0.23305088911928046,3,0.67691768;0.21358169;0.40134101
noSBA,14.0,0.4131885433268976,0.2238322444213003,3,0.6498088;0.20482835;0.38492849
noSBA,14.25,0.39580004840326516,0.21514056759373604,3,0.6229259;0.19508295;0.36939129
noSBA,14.5,0.37871629967468196,0.20676845834038107,3,0.59643204;0.18498742;0.35472943
noSBA,14.75,0.3616449970653806,0.19718266058115136,3,0.56854581;0.17588394;0.34050524
noSBA,15.0,0.34793223773950405,0.18838467361138023,3,0.54417019;0.16853113;0.33109539
noSBA,15.25,0.33396274688159305,0.17752584576616157,3,0.51661721;0.16205365;0.32321738
noSBA,15.5,0.3207551215113051,0.1682972535168365,3,0.49200632;0.15557617;0.31468287
noSBA,15.75,0.30872223004290933,0.1627042512411119,3,0.47354565;0.14822336;0.30439768
noSBA,16.0,0.29829793843309393,0.15729701295860737,3,0.45516937;0.14057877;0.29914567
noSBA,16.25,0.28728327100415785,0.14943239403897576,3,0.43456971;0.13579361;0.29148649
noSBA,16.5,0.27734255633721516,0.14347886964442544,3,0.41758581;0.13083338;0.28360848
noSBA,16.75,0.26735773961568143,0.1368034272297925,3,0.39930249;0.12616492;0.2766058
noSBA,17.0,0.25864163657280814,0.1310227928221637,3,0.38346855;0.12219674;0.27025962
noSBA,17.25,0.2511314015632245,0.12524662363199196,3,0.36834901;0.11916225;0.26588295
noSBA,17.5,0.2439089389720233,0.1210813378790714,3,0.35536202;0.11507735;0.26128744
noSBA,17.75,0.2381043211762087,0.11597451146000912,3,0.34338984;0.11379353;0.2571296
noSBA,18.0,0.23112448534097552,0.11350180477739469,3,0.331831;0.10813303;0.25340943
noSBA,18.25,0.2240134425284568,0.10924524091309083,3,0.32003902;0.10515689;0.24684442
noSBA,18.5,0.21755975794533763,0.10555696978381804,3,0.30753476;0.10136377;0.24378075
noSBA,18.75,0.211519425914014,0.1027903501766706,3,0.29575994;0.096987098;0.24181124
noSBA,19.0,0.20480066277810124,0.0993624928183749,3,0.28537822;0.093777537;0.23524623
noSBA,19.25,0.19959104170384181,0.09612248287462487,3,0.27584752;0.091618377;0.23130723
noSBA,19.5,0.1930845350651745,0.09368180730411194,3,0.26513971;0.087183348;0.22693055
noSBA,19.75,0.18879606509652178,0.09112415719869099,3,0.25628625;0.0851409;0.22496105
noSBA,20.0,0.18412537670747098,0.08815322701633178,3,0.24579011;0.083156807;0.22342921
noSBA,20.25,0.17988272302885797,0.08633619485501225,3,0.23775978;0.080647514;0.22124087
noSBA,20.5,0.17560893521884754,0.08373879332347584,3,0.23071563;0.079246979;0.2168642
noSBA,20.75,0.171005135995026,0.0814362413741269,3,0.22087241;0.077029464;0.21511353
noSBA,21.0,0.16578264024262254,0.07873241846351474,3,0.21130309;0.074870305;0.21117452
noSBA,21.25,0.16092076823151588,0.07651204799376765,3,0.20337002;0.072594434;0.20679785
noSBA,21.5,0.15701127470246282,0.07460051961312689,3,0.19562431;0.071018831;0.20439068
noSBA,21.75,0.15303727687125454,0.07253555563399679,3,0.1876705;0.069676651;0.20176467
noSBA,22.0,0.1494612788055741,0.07082878971570841,3,0.18063351;0.068392827;0.1993575
noSBA,22.25,0.14736934407288424,0.07001890767740701,3,0.17499961;0.067750915;0.1993575
noSBA,22.5,0.14459258751905799,0.06882564756559717,3,0.16879932;0.066933936;0.1980445
noSBA,22.75,0.1415690118656914,0.06742184039344186,3,0.16245672;0.066175312;0.196075
noSBA,23.0,0.13796793507134816,0.06626669024154251,3,0.15524237;0.064774776;0.19388666
noSBA,23.25,0.13613979321486544,0.06605282807203423,3,0.15107094;0.063899442;0.19344899
noSBA,23.5,0.13368475663275523,0.06518831003734041,3,0.14621513;0.063140818;0.19169832
noSBA,23.75,0.13086943162316086,0.06444277355083088,3,0.14051187;0.062148772;0.18994765
noSBA,24.0,0.12930593976060956,0.06396931597873015,3,0.13738241;0.061681927;0.18885349
noSBA,24.25,0.12693519467925765,0.06361309866690994,3,0.13257522;0.060689881;0.18754048
noSBA,24.5,0.12490767100367355,0.06315981874933632,3,0.12884146;0.059872901;0.18600865
noSBA,24.75,0.12352010322196001,0.06274691073764511,3,0.12572916;0.059697834;0.18513331
noSBA,25.0,0.12135078950897082,0.06263878019741043,3,0.12254749;0.058122232;0.18338264
