explore_to_exploit_demand_ratio,reader_cleaver_coordinate,explore_density,escape_density,exploit_density,total_density,explore_fraction,escape_fraction,exploit_fraction,explore_escape_center,exploit_center,display_width
0.05,-2.016056095558096,0.0005548837446487,0.0024945935368491,5.376295892132658e-07,0.0030500149110871,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.0119822555211173,0.0005722651791129,0.0025727353359082,5.682250130346361e-07,0.0031455687400342,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.007908415484139,0.0005901271747432,0.0026530375961282,6.004965354158526e-07,0.0032437652674069,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.0038345754471605,0.0006084808028177,0.0027355500907076,6.345321611213722e-07,0.0033446654256865,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-1.9997607354101816,0.0006273373173846,0.0028203234145248,6.704242987206964e-07,0.0034483311562081,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-1.9956868953732032,0.0006467081559965,0.0029074089874411,7.082699690382262e-07,0.0035548254134067,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-1.9916130553362248,0.0006666049403678,0.0029968590572534,7.481710228385161e-07,0.003664212168644,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-1.9875392152992464,0.0006870394769497,0.0030887267022823,7.902343681239129e-07,0.0037765564136001,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-1.9834653752622675,0.0007080237574227,0.003183065833584,8.345722074354391e-07,0.0038919241632142,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-1.979391535225289,0.000729569959102,0.0032799311967722,8.813022855618883e-07,0.0040103824581598,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-1.975317695188311,0.0007516904452524,0.0033793783734374,9.305481480769674e-07,0.0041319993668379,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-1.9712438551513325,0.0007743977653121,0.0034814637821496,9.824394111393105e-07,0.0042568439868729,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-1.9671700151143536,0.0007977046550201,0.0035862446790318,1.0371120430058377e-06,0.0043849864460949,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
