architecture,phi_b,chi_C,exploration_range_score,gradient_guidance_score,escape_score,exploit_score,passive_score
polarized,0.9831820716949256,0.001,0.0,0.0,0.0,0.0,1.0
polarized,0.9858578643762692,0.001,0.0,0.0,0.0,0.0,1.0
polarized,0.9881079288499728,0.001,0.0,0.0,0.0,0.0,1.0
polarized,0.99,0.001,0.0,0.0,0.0,0.0,1.0
polarized,0.0025,0.0010918905346848,0.0004682651985716,0.2128078860109923,0.0696191273097056,0.0003108867071774,0.9154126120852936
polarized,0.0026624666009945,0.0010918905346848,0.0004888223383817,0.2257516888789162,0.0692304576117905,0.0003773842376699,0.9144862579463016
polarized,0.0028354913605645,0.0010918905346848,0.0005101394282106,0.239345359485064,0.068808148184219,0.0004581399560986,0.9133119034977888
polarized,0.0030197604179647,0.0010918905346848,0.0005318609225826,0.2535560427723382,0.0683491964625339,0.0005562081445481,0.9118583521862152
polarized,0.0032160045023345,0.0010918905346848,0.0005536000277978,0.2685122531256098,0.0678503465090414,0.0006752950895019,0.9100950021560138
polarized,0.0034250018304455,0.0010918905346848,0.000575844713728,0.2840643648190554,0.0673081188590655,0.0008198972798282,0.907992498661664
polarized,0.0036475811927626,0.0010918905346848,0.0005982821988467,0.3006113238399212,0.0667187881690057,0.0009954691337127,0.9055228945519174
polarized,0.0038846252400585,0.0010918905346848,0.0006213963737125,0.3181197922799755,0.066078398171003,0.0012086256767885,0.9026601319668632
polarized,0.0041370739836145,0.0010918905346848,0.0006442999495818,0.3365422218393378,0.0653827689971787,0.0014673871173149,0.8993802261889777
polarized,0.0044059285228868,0.0010918905346848,0.0006672647881286,0.3555421418531639,0.064627504848724,0.001781475119359,0.8956628991821444
polarized,0.0046922550154221,0.0010918905346848,0.0006904788191048,0.3750708944601424,0.0638080682687513,0.0021626668990009,0.8914979824091334
polarized,0.0049971889047642,0.0010918905346848,0.0007139392813736,0.3953600465049271,0.0629197876948028,0.0026252243066116,0.8867980987966392
polarized,0.0053219394231181,0.0010918905346848,0.0007372533954749,0.4166864831172582,0.0619579395024335,0.0031864046709488,0.881520089115832
polarized,0.0056677943866273,0.0010918905346848,0.0007600195508184,0.4386837401536116,0.060917844656718,0.003867073563438,0.8756943753265297
polarized,0.0060361253022798,0.0010918905346848,0.0007831523374847,0.4608979554757806,0.0597949360171702,0.0046924309342804,0.8692736244000508
polarized,0.0064283928066953,0.0010918905346848,0.00080590522686,0.4831114771061721,0.0585849369286328,0.0056928757637358,0.862582682021053
polarized,0.0068461524583599,0.0010918905346848,0.0008279260880676,0.5054660415918637,0.0572839731812774,0.006905018009019,0.8553183630768632
polarized,0.00729106090628,0.0010918905346848,0.0008496490085112,0.5284400858983128,0.0558887814715403,0.0083728676027893,0.8475149774900378
polarized,0.0077648824595151,0.0010918905346848,0.0008709499443003,0.5513852882285222,0.0543968920505667,0.0101492087936827,0.8394592205412358
polarized,0.0082694960836429,0.0010918905346848,0.0008912803180476,0.5738475129854891,0.0528068596339932,0.012297179820618,0.8308809207240325
polarized,0.0088069028519018,0.0010918905346848,0.0009106913258839,0.5953128668295646,0.0511184981169942,0.0148920610838141,0.8218718723044165
polarized,0.0093792338805569,0.0010918905346848,0.000929338048402,0.6160700277136149,0.0493331041111626,0.0180232617718474,0.8124173441704696
polarized,0.0099887587799597,0.0010918905346848,0.0009467144620181,0.6364848460329552,0.0474536915820095,0.0217964976372677,0.8023264369050924
polarized,0.0106378946548135,0.0010918905346848,0.0009630339238451,0.6562357924562998,0.0454849716033712,0.0263363303422094,0.7917729653044732
polarized,0.0113292156893358,0.0010918905346848,0.0009772172653682,0.674975027644655,0.043434077025023,0.0317892586629686,0.7806969819984029
