architecture,K_C,K_D,n_binders,n_trajectories,detached_fraction,median_path_in_persistence_lengths,recurrence_range_screen,finite_time_free_range,included_in_repeated_return_comparison
mixed,10.0,200.0,16,256,0.97265625,44.23638236003666,17.330889275841898,627.6978190579921,True
mixed,10.0,1000.0,16,128,0.0,31.828229837507084,11.550754916752233,403.33526844984584,False
polarized,0.0,1.0,4,64,0.0,inf,209.39786511554263,209.39786511554263,False
polarized,0.0,10.0,4,64,0.0,inf,496.58409003384173,496.58409003384173,False
polarized,0.0,50.0,4,64,0.0,inf,307.9824597805513,307.9824597805513,False
polarized,0.0,100.0,4,64,0.0,inf,177.4481952992177,177.4481952992177,False
polarized,0.0,200.0,4,64,0.0,inf,93.97861087327736,93.97861087327736,False
polarized,0.0,1000.0,4,128,0.0,inf,19.48902088948696,19.48902088948696,False
polarized,0.0,1.0,10,64,0.0,inf,136.4038239097235,136.4038239097235,False
polarized,0.0,10.0,10,64,0.0,inf,421.9121684220962,421.9121684220962,False
polarized,0.0,50.0,10,64,0.0,inf,418.7924692118201,418.7924692118201,False
polarized,0.0,100.0,10,64,0.0,inf,266.91092652927324,266.91092652927324,False
polarized,0.0,200.0,10,64,0.0,inf,146.52216957166152,146.52216957166152,False
polarized,0.0,1000.0,10,128,0.0,inf,30.79622684779759,30.79622684779759,False
polarized,0.0,1.0,16,64,0.0,inf,108.65433665837833,108.65433665837833,False
polarized,0.0,10.0,16,64,0.0,inf,366.0439779011186,366.0439779011186,False
polarized,0.0,50.0,16,64,0.0,inf,466.1361467845837,466.1361467845837,False
polarized,0.0,100.0,16,64,0.0,inf,322.10651288588974,322.10651288588974,False
polarized,0.0,200.0,16,64,0.0,inf,182.79806013316752,182.79806013316752,False
polarized,0.0,1000.0,16,128,0.0,inf,38.93096621936715,38.93096621936715,False
polarized,0.1,1.0,4,64,1.0,68.80900538605754,672.2370404224192,672.2370404224192,False
polarized,0.1,10.0,4,64,1.0,337.3540345424343,437.2917752352001,752.4103570066425,True
polarized,0.1,50.0,4,64,1.0,153.5840108854939,417.3637064628259,742.5384090576678,True
polarized,0.1,100.0,4,64,1.0,63.84356799427246,876.6135111431292,876.6135111431292,False
polarized,0.1,200.0,4,64,0.953125,37.47098489959592,1122.8486724486004,1122.8486724486004,False
polarized,0.1,1000.0,4,128,0.0,6.0363368812499205,1779.408795326841,1779.408795326841,False
polarized,0.1,1.0,10,64,1.0,91.59591819538758,383.57090547996194,383.57090547996194,False
polarized,0.1,10.0,10,64,0.796875,3348.047678765667,415.3000558325655,536.8548162647265,False
polarized,0.1,50.0,10,64,0.734375,2243.753900652326,357.1520026244751,619.2831143345877,False
polarized,0.1,100.0,10,64,0.546875,754.1765160952939,622.9014883787592,662.345034546962,False
polarized,0.1,200.0,10,64,0.359375,212.7761074105971,825.7941977799356,825.7941977799356,False
polarized,0.1,1000.0,10,128,0.0,9.510810759733769,1419.3267970525626,1419.3267970525626,False
polarized,0.1,1.0,16,64,0.203125,479.10632407427937,226.88602388359175,226.88602388359175,False
polarized,0.1,10.0,16,64,0.0,7120.582948184616,409.2915436245983,409.2915436245983,False
polarized,0.1,50.0,16,64,0.015625,5308.049530888219,404.9459605573407,533.0167737062736,False
polarized,0.1,100.0,16,64,0.0,1755.5838161899806,479.4936471416997,479.4936794139392,False
polarized,0.1,200.0,16,64,0.0,447.19640334615366,523.1594105777191,523.1594105777191,False
polarized,0.1,1000.0,16,128,0.0,15.63375703181973,951.124792204636,951.124792204636,False
