architecture,K_D,K_C,n_binders,n_cleavers,mean_attachments,attachment_probability,speed,orientational_persistence_time,active_diffusivity,mobile_fraction,local_depletion_probability,receptor_contrast,persistence_length,diffusivity_shift
polarized,890.3890941296735,10.0,4.0,16.0,0.0248597884645705,0.0062149471161426,0.0049855881111744,1907.913473118381,0.0158327498273093,1.0,1.0,1.0,9.512070728728547,0.0158327498273093
polarized,836.1205692482771,10.0,4.0,16.0,0.0264626420286979,0.0066156605071744,0.0053078389620763,1896.269807263233,0.0178379275934793,1.0,1.0,1.0,10.065094765600875,0.0178379275934793
polarized,785.159668878704,10.0,4.0,16.0,0.0281681084713543,0.0070420271178385,0.0056508073619073,1883.249505002618,0.0200809535560746,1.0,1.0,1.0,10.641880167177138,0.0200809535560746
polarized,737.3047958716827,10.0,4.0,16.0,0.0299826595843695,0.0074956648960923,0.0060158076005078,1868.71480124428,0.0225858259487083,1.0,1.0,1.0,11.24182870450678,0.0225858259487083
polarized,692.3666402678728,10.0,4.0,16.0,0.031913162400654,0.0079782906001635,0.0064042344211708,1852.5205985300809,0.0253778768894111,1.0,1.0,1.0,11.863976183034367,0.0253778768894111
polarized,650.1674304031648,10.0,4.0,16.0,0.033966901609383,0.0084917254023457,0.0068175674354105,1834.5158263388623,0.028483553760723,1.0,1.0,1.0,12.506935357393134,0.028483553760723
polarized,610.5402296585327,10.0,4.0,16.0,0.036151603009848,0.009037900752462,0.0072573756849078,1814.545352332891,0.0319301082002251,1.0,1.0,1.0,13.168837319183243,0.0319301082002251
polarized,573.3282760724394,10.0,4.0,16.0,0.0384754580192037,0.0096188645048009,0.00772532233545,1792.4525294826244,0.0357451784895176,1.0,1.0,1.0,13.847273561246096,0.0357451784895176
polarized,538.3843622033489,10.0,4.0,16.0,0.0409471492440454,0.0102367873110113,0.0082231694822525,1768.0824527968089,0.0399562528355997,1.0,1.0,0.999999999999999,14.539241667944967,0.0399562528355997
polarized,505.570252789143,10.0,4.0,16.0,0.0435758771194248,0.0108939692798562,0.0087527830394772,1741.2859788071034,0.0445900045010452,1.0,1.0,0.9999999999999916,15.241098382182416,0.0445900045010452
polarized,474.7561378997421,10.0,4.0,16.0,0.0463713876113961,0.011592846902849,0.0093161376788389,1711.9245275260937,0.0496714953825082,1.0,1.0,0.9999999999999398,15.948524594214426,0.0496714953825082
polarized,445.8201194196514,10.0,4.0,16.0,0.0493440009703568,0.0123360002425892,0.0099153217726695,1679.875638349315,0.055223252799124,1.0,1.0,0.9999999999996212,16.656507492302058,0.055223252799124
polarized,418.6477288289951,10.0,4.0,16.0,0.0525046415121239,0.0131261603780309,0.0105525422854086,1645.0391874781455,0.0612642350802143,1.0,1.0,0.9999999999978688,17.35934558701748,0.0612642350802143
polarized,393.1314743754256,10.0,4.0,16.0,0.0558648683917097,0.0139662170979274,0.0112301295438986,1607.344095966398,0.0678087148630329,1.0,1.0,0.9999999999892148,18.05068241932329,0.0678087148630329
polarized,369.1704158455517,10.0,4.0,16.0,0.0594369073209443,0.014859226830236,0.0119505418005655,1566.755268188251,0.0748651241975512,1.0,1.0,0.999999999950573,18.723574323739985,0.0748651241975512
polarized,346.66976525371945,10.0,4.0,16.0,0.0632336831652207,0.0158084207913051,0.012716369484215,1523.2804074657822,0.082434921415105,1.0,1.0,0.9999999997936364,19.370596489400533,0.082434921415105
polarized,325.5405118685032,10.0,4.0,16.0,0.067268853336521,0.0168172133341302,0.013530339010312,1476.9762694300475,0.0905115544518526,1.0,1.0,0.999999999210607,19.98398963557458,0.0905115544518526
polarized,305.6990700935378,10.0,4.0,16.0,0.0715568418792779,0.0178892104698194,0.0143953159916089,1427.953848191082,0.0990796065363369,1.0,1.0,0.9999999972186788,20.555846866144673,0.0990796065363369
polarized,287.0669488097448,10.0,4.0,16.0,0.0761128741223118,0.0190282185305779,0.0153143076552276,1376.3819610586686,0.1081142152757135,1.0,1.0,0.99999999092868,21.078336802757963,0.1081142152757135
polarized,269.57044087089156,10.0,4.0,16.0,0.0809530117438122,0.020238252935953,0.0162904642236798,1322.4887191884918,0.1175808525570524,1.0,1.0,0.9999999724841676,21.543955166160274,0.1175808525570524
