architecture,K_D,K_C,n_binders,n_cleavers,mean_attachments,attachment_probability,probability_of_at_least_one_attachment,relative_mobility,attachment_lifetime,attachment_friction
polarized,1.4583626940155214,10.0,4.0,16.0,3.1698153465527414,0.7924538366381854,0.9981445090596892,0.0328730263299288,0.9281322102846302,2.942007723790137
polarized,1.3694766186266034,10.0,4.0,16.0,3.210426528544643,0.8026066321361608,0.9984817956634036,0.0305520933642874,0.9883727638597448,3.173098141186315
polarized,1.2860080806105665,10.0,4.0,16.0,3.2495214322257473,0.8123803580564368,0.9987608804436936,0.0284075024812031,1.052523239162415,3.4201968235739337
polarized,1.2076268852652798,10.0,4.0,16.0,3.287110433125228,0.821777608281307,0.9989910977974268,0.0264248521751753,1.1208374102204075,3.6843163449725633
polarized,1.1340229629996768,10.0,4.0,16.0,3.323208844301877,0.8308022110754691,0.9991804438124072,0.0245909663811492,1.1935855223009797,3.9665339641412904
polarized,1.0649051427238374,10.0,4.0,16.0,3.3578364454741956,0.8394591113685489,0.9993357330420068,0.0228937937785379,1.2710553609790312,4.26799601531075
polarized,1.0,10.0,4.0,16.0,3.391017013472921,0.8477542533682303,0.999462744743325,0.0213223136152881,1.3535533905932735,4.589922576145749
polarized,1778.2794100389228,10.0,10.0,10.0,0.031215265059355,0.0031215265059355,0.0307804183592943,0.999762458637628,0.0007611590073821,2.3759780167748225e-05
polarized,1669.8946588711192,10.0,10.0,10.0,0.0332345628669537,0.0033234562866953,0.0327419011260233,0.9997306857652392,0.0008105621413917,2.693867844565786e-05
polarized,1568.115874245688,10.0,10.0,10.0,0.0353840242463943,0.0035384024246394,0.03482589455897,0.9996946683394214,0.0008631717928653,3.0542491647551406e-05
polarized,1472.5404276241222,10.0,10.0,10.0,0.0376719776244911,0.0037671977624491,0.0370397210541104,0.9996538405258114,0.0009191960812764,3.462793420636723e-05
polarized,1382.790230365145,10.0,10.0,10.0,0.0401072760584367,0.0040107276058436,0.0393910968201537,0.9996075613361034,0.0009788566341229,3.925927324639991e-05
polarized,1298.51023803699,10.0,10.0,10.0,0.0426993291805034,0.0042699329180503,0.0418881471062371,0.999555104711482,0.0010423894636668,4.45093308433987e-05
polarized,1219.3670458907095,10.0,10.0,10.0,0.0454581369395813,0.0045458136939581,0.0445394211503189,0.9994956483134028,0.0011100459005799,5.046061855778452e-05
polarized,1145.0475699382812,10.0,10.0,10.0,0.048394325220298,0.0048394325220298,0.0473539066835168,0.9994282608571722,0.0011820935881871,5.720662154755604e-05
polarized,1075.257808417991,10.0,10.0,10.0,0.0515191834211397,0.0051519183421139,0.0503410437997705,0.999351887803825,0.0012588175412413,6.485325180096011e-05
polarized,1009.72167874753,10.0,10.0,10.0,0.0548447040731461,0.0054844704073146,0.0535107379715665,0.9992653352037326,0.0013405212734188,7.352049254441473e-05
polarized,948.1799253639082,10.0,10.0,10.0,0.0583836245802861,0.0058383624580286,0.0568733719607352,0.9991672514609692,0.0014275279979944,8.334425871275587e-05
polarized,890.3890941296735,10.0,10.0,10.0,0.0621494711614262,0.0062149471161426,0.0604398163384436,0.9990561067606406,0.0015201819064465,9.44785015548226e-05
polarized,836.1205692482771,10.0,10.0,10.0,0.0661566050717448,0.0066156605071744,0.0642214382902137,0.9989301698719724,0.0016188495300506,0.0001070975890301
polarized,785.159668878704,10.0,10.0,10.0,0.0704202711783858,0.0070420271178385,0.0682301083400935,0.9987874820078972,0.001723921189847,0.0001213989976791
