architecture,K_D,speed
polarized,138.8789276388941,0.0463095621888972
polarized,141.30397422657344,0.0456417162829276
polarized,143.77136597814763,0.0449794570726218
polarized,146.2818423074137,0.0443228918420397
polarized,148.83615553950762,0.0436721232008803
polarized,151.43507113635664,0.0430272490612698
polarized,154.0793679260688,0.0423883626117191
polarized,156.76983833632747,0.0417555522873969
polarized,159.50728863186157,0.0411289017422659
polarized,162.29253915606236,0.0405084898160217
polarized,165.12642457681932,0.0398943905046388
polarized,168.00979413664845,0.0392866729313417
polarized,170.94351190718862,0.0386854013161524
polarized,173.92845704814155,0.0380906349576563
polarized,176.9655240707328,0.037502428207731
polarized,180.0556231057748,0.0369208304570452
polarized,183.1996801764088,0.0363458861276466
polarized,186.39863747561049,0.0357776346684605
polarized,189.65345364854085,0.0352161105618828
polarized,192.96510407982765,0.0346613433364255
polarized,196.3345811858628,0.0341133575872278
polarized,199.76289471220431,0.0335721730143428
polarized,203.25107203617085,0.0330378044542446
polarized,206.8001584747202,0.0325102619403909
polarized,210.41121759770417,0.0319895507669121
polarized,214.08533154659287,0.0314756715535123
polarized,217.8236013587646,0.0309686203376385
polarized,221.6271472974588,0.0304683886683298
polarized,225.49710918748912,0.0299749637079859
polarized,229.43464675682105,0.0294883283529724
polarized,233.4409399841113,0.0290084613517539
polarized,237.51718945231772,0.028535337442433
polarized,241.6646167084828,0.0280689274972102
polarized,245.8844646297999,0.0276091986665279
polarized,250.17799779607168,0.0271561145390365
polarized,254.54650286867204,0.0267096353008388
polarized,258.9912889761254,0.0262697179073398
polarized,263.51368810641884,0.0258363162462175
polarized,268.1150555061646,0.0254093813221603
polarized,272.79677008673275,0.0249888614224275
polarized,277.5602348374751,0.0245747023010797
polarized,282.4068772461656,0.0241668473551456
polarized,287.3381497267805,0.0237652377997442
polarized,292.35553005475094,0.0233698128465645
polarized,297.46052180981326,0.0229805098728551
polarized,302.6546548265934,0.0225972645964339
polarized,307.9394856530588,0.0222200112370642
polarized,313.3165980169761,0.0218486826817794
polarized,318.78760330051324,0.0214832106406234
polarized,324.35414102312933,0.0211235257978137
polarized,330.01787933289654,0.0207695579590416
polarized,335.78051550640106,0.0204212361863672
polarized,341.6437764573731,0.0200784889393258
polarized,347.60941925419866,0.019741244193336
polarized,353.6792316464676,0.0194094295633887
polarized,359.8550326007166,0.0190829724164394
polarized,366.13867284552504,0.0187617999739412
polarized,372.53203542613306,0.0184458394168461
polarized,379.03703626874017,0.0181350179722388
polarized,385.65562475465936,0.0178292629999866
polarized,392.38978430449663,0.0175285020727136
polarized,399.24153297253105,0.0172326630473573
polarized,406.2129240514736,0.0169416741314276
polarized,413.30604668778625,0.0166554639442074
polarized,420.5230265077452,0.0163739615700023
polarized,427.8660262544367,0.0160970966091528
polarized,435.3372464358751,0.015824799221298
polarized,442.9389259844387,0.0155570001654171
polarized,450.6733429278206,0.0152936308346816
polarized,458.5428150716929,0.0150346232873379
polarized,466.54970069429663,0.0147799102737412
polarized,474.6963992531545,0.0145294252594888
polarized,482.98535210412774,0.0142831024456113
polarized,491.4190432330272,0.0140408767853436
polarized,500.0,0.0138026839982951
mixed,1.0,0.0393569733755836
mixed,1.017461587793829,0.0396883879413392
mixed,1.0352280826359388,0.0400224421555411
mixed,1.0533048086875232,0.0403591525680862
mixed,1.0716971830780824,0.0406985356664044
mixed,1.0904107175287991,0.0410406078672778
mixed,1.1094510200042598,0.0413853855082967
