architecture,K_D,K_C,n_binders,n_cleavers,receptor_contrast,locally_depleted_fraction,mobile_fraction,diffusivity_shift
mixed,100.0,0.301294772472699,10.0,10.0,0.0174020547512947,0.0004444098847593,0.9995555901152406,0.008937602434705
mixed,100.0,0.3255405118685032,10.0,10.0,0.0180894483019411,0.0006285731810357,0.9993714268189644,0.0096040006515684
mixed,100.0,0.351737350096938,10.0,10.0,0.018804026705207,0.0008801118744521,0.999119888125548,0.0103160669838572
mixed,100.0,0.3800422956365883,10.0,10.0,0.0195468677853898,0.0012203509797698,0.9987796490202302,0.0110759527816014
mixed,100.0,0.4106249917244298,10.0,10.0,0.0203190923352211,0.0016762633494979,0.998323736650502,0.0118856398740014
mixed,100.0,0.4436687330978611,10.0,10.0,0.0211218658497059,0.0022816375622989,0.9977183624377012,0.0127468504087225
mixed,100.0,0.4793715645558216,10.0,10.0,0.0219564003318547,0.0030783951379649,0.9969216048620352,0.0136609350118566
mixed,100.0,0.517947467923121,10.0,10.0,0.0228239561734469,0.0041180473869574,0.9958819526130426,0.0146287359671079
mixed,100.0,0.5596276445319552,10.0,10.0,0.0237258441142137,0.0054632684771621,0.9945367315228378,0.0156504222257142
mixed,100.0,0.6046619009070435,10.0,10.0,0.0246634272828516,0.0071895422565267,0.9928104577434732,0.0167252935322365
mixed,100.0,0.6533201459593774,10.0,10.0,0.0256381233236074,0.0093868148393171,0.9906131851606828,0.0178515519634076
mixed,100.0,0.7058940086618741,10.0,10.0,0.0266514066122609,0.0121610519384132,0.9878389480615868,0.0190260409528934
mixed,100.0,0.7626985859023444,10.0,10.0,0.0277048105655756,0.0156355589040312,0.9843644410959688,0.0202439546769274
mixed,100.0,0.8240743309893657,10.0,10.0,0.0287999300484964,0.0199518729546244,0.9800481270453756,0.0214985247827566
mixed,100.0,0.890389094129673,10.0,10.0,0.0299384238836251,0.0252699835139209,0.974730016486079,0.0227806970962137
mixed,100.0,0.9620403271064756,10.0,10.0,0.0311220174677051,0.0317675830399742,0.9682324169600256,0.0240788182664607
mixed,100.0,1.0394574653722626,10.0,10.0,0.0323525055001581,0.0396380062346233,0.9603619937653768,0.0253783611592598
mixed,100.0,1.1231045018329515,10.0,10.0,0.0336317548289802,0.0490864937485802,0.9509135062514198,0.0266617276276564
