architecture,K_D,directional_persistence_time
polarized,4.431491467837972,151.45191884429667
polarized,4.508872345161228,150.34385260564258
polarized,4.587604415467426,149.26877198606505
polarized,4.667711272731467,148.2259854639014
polarized,4.749216922916511,147.21479876190236
polarized,4.832145791167954,146.23451436519088
polarized,4.916522729133014,145.28443105995572
polarized,5.002373022408124,144.3638434966238
polarized,5.089722398116383,143.4720417815357
polarized,5.178597032617307,142.60831110143656
polarized,5.269023559351216,141.77193138536956
polarized,5.361029076820579,140.96217700882775
polarized,5.454641156710748,140.17831654527464
polarized,5.5498878521524855,139.41961257037536
polarized,5.646797706128749,138.6853215244892
polarized,5.745399760028305,137.97469363915044
polarized,5.845723562348681,137.28697293340025
polarized,5.947799177551087,136.62139728592666
polarized,6.051657195069956,135.97719858900504
polarized,6.1573287384798245,135.3536029902102
polarized,6.2648454748222555,134.749831227783
polarized,6.374239624095634,134.16509906535998
polarized,6.48554396891068,133.59861783152985
polarized,6.598791864314551,133.04959506933253
polarized,6.714017247786481,132.51723530037845
polarized,6.831254649407985,132.00074090771503
polarized,6.950539202210622,131.49931314092166
polarized,7.071906652704471,131.0121532461376
polarized,7.195393371590431,130.53846372285489
polarized,7.321036364659589,130.07744970830657
polarized,7.448873283882906,129.62832048917602
polarized,7.578942438694532,129.19029113913635
polarized,7.711282807472169,128.7625842794118
polarized,7.845934049217885,128.34443195814535
polarized,7.982936515442894,127.93507764287156
polarized,8.122331262259861,127.53377831884328
polarized,8.264160062686368,127.1398066843704
polarized,8.408465419163221,126.75245343271568
polarized,8.555290576291311,126.37102960847704
polarized,8.704679533790936,125.9948690248111
polarized,8.85667705968737,125.62333072632318
polarized,9.01132870372669,125.2558014810197
polarized,9.168680811025862,124.89169828340692
polarized,9.32878053596118,124.53047084966047
polarized,9.491675856299228,124.17160408481575
polarized,9.65741558757456,123.81462050117491
polarized,9.826049397718482,123.4590825666075
polarized,9.99762782194324,123.10459496117896
polarized,10.172202277886123,122.75080672058596
polarized,10.349825081018022,122.39741324522429
polarized,10.530549460320984,122.04415815438858
polarized,10.714429574239634,121.69083496608876
polarized,10.901520526911014,121.33728858427824
polarized,11.091878384677894,120.9834165769109
polarized,11.285560192890417,120.62917023015666
polarized,11.482623993001113,120.27455536629144
polarized,11.683128839958428,119.91963291520456
polarized,11.887134819903972,119.56451923209676
polarized,12.094703068178802,119.20938615673468
polarized,12.305895787644094,118.85446081253984
polarized,12.520776267321748,118.5000251467614
polarized,12.73940890136047,118.14641521597504
polarized,12.961859208333056,117.79402022409518
polarized,13.188193850870617,117.4432813229505
polarized,13.418480655639623,117.09469018818078
polarized,13.652788633667866,116.74878738574223
polarized,13.891188001025242,116.4061605465932
polarized,14.13375019986572,116.06744236915252
polarized,14.38054791983672,115.73330847083626
polarized,14.631655119862309,115.4044751113638
polarized,14.887147050306812,115.08169681156888
polarized,15.14710027552538,114.76576389213668
polarized,15.411592696808391,114.45749995702351
polarized,15.680703575726438,114.15775934629931
polarized,15.954513557882986,113.86742458280249
polarized,16.23310469708179,113.58740383632832
polarized,16.516560479916294,113.31862842811648
polarized,16.804965850788438,113.06205039718084
polarized,17.098407237364274,112.8186401485811
polarized,17.39697257647414,112.58938420209373
polarized,17.700751340465075,112.37528305795232
polarized,18.009834564013335,112.17734919441656
polarized,18.324314871405186,111.9966052099439
polarized,18.64428650429398,111.83408212071664
polarized,18.969845349942013,111.6908178222398
polarized,19.301088969955376,111.567855721724
polarized,19.63811662952075,111.466243546014
polarized,19.98102932715257,111.387032327955
polarized,20.329929824959702,111.3312755723191
polarized,20.684922679440614,111.30002860076618
